Count_of_sizes,Name_ of_colors,Product_code
"['41', '42', '43', '44', '45']",BLACK,FGC0Y9040732A
"['43', '44', '45']",GREY,FGC0510R2042A
"['41', '42', '43', '44']",BLUE,FGC0510T7052A
['45'],GREY/OWHITE,FGC0Y9040392A
"['43', '44', '45']",LGREY,FGC0510R2002A
"['40', '41', '43', '44', '45']",BLACK,FGC0Y9039162A
['40'],NAVY,FGC0Z7040132A
"['40', '41']",RBLUE,FGC051019021A
"['40', '41', '44']",NAVY,FGC0Y9040762A
['42'],DNAVY,FGC0GF0R6821Z
"['40', '41', '44', '45']",GREY/RED,FGC0Y9040902A
"['44', '45']",NAVY,FGC0Y9040372A
"['41', '42', '43', '44']",GREY,FGC0180T0592A
"['40', '41', '42', '43', '44']",NAVY,FGC0Z7040082A
['41'],BLUE,FGC0H40U8422A
"['40', '41', '44']",WHITE,FGC0Y9040772A
[],BLACK,FGC0Z7041592A
"['40', '41', '43', '45']",NAVY,FGC031039102A
"['39', '40']",NAVY,FGC0H40W7082A
['40'],BLACK,FGC0DN032122A
"['40', '41']",WHITE,FGC0Z7041622A
"['43', '45']",NAVY/WHITE,FGC0Y9040952A
"['41', '42', '44']",GREY,FGC0Z7045232A
['40'],RED/NAVY,FGC0Y9032772A
['39'],BLACK,FGC0H4020401A
"['42', '43', '44']",GREY,FGC0Y9039172A
"['40', '42', '43', '44']",BLACK,FGC0Z7041652A
[],OLIVE,FGC0Z7039792A
"['43', '44', '45']",GREY,FGC0C30V0672A
"['41', '43', '45']",NAVY,FGC0510S0062A
['43'],WHITE,FGC0Z7040102A
"['41', '42']",GREY,FGC0260U3112A
['41'],BLUE,FGC0H40U8432A
['41'],NAVY,FGC0Y9040812A
"['40', '45']",OLIVE/BLACK,FGC0Y9032762A
,,FGC0Y9040382A
['40'],BLACK,FGC0Y9037612A
[],NAVY,FGC0Z7041562A
[],PARIS KHAKI,FGC0L4033131A
[],WHITE,FGC0Z7041572A
[],OLIVE/BLACK,FGC0Y9032092A
"['41', '42']",WHT/RED/YLO,FGC0Z7041532A
[],DGREY,FGC0DN032132A
[],BLACK,FGC051022081B
"['43', '44', '45']",GREY/GREEN,FGC0EM0S0162A
"['44', '45']",GREY,FGC0DY0T7782A
[],BLACK,FGC0H9030001A
['44'],LKHAKI,FGC0260U2742A
[],GREY,FGC0510R2052A
['40'],DGREY/ORANGE,FGC0Y9040942A
['44'],BROWN,FGC0DY0S0082A
['40'],BROWN,FGC0H40W7062A
[],GREY/BLACK,FGC0Y9032142A
['44'],TAUPE,FGC0150S0122A
"['42', '43']",BLACK,FGC0Z7041552A
"['44', '45']",BLACK,FGC0180V6822A
[],NAVY,FGC0Y9032792A
"['40', '41', '42', '43', '44']",DNAVY,FGC0GF0R8041Z
"['40', '42', '43', '44', '45']",DNAVY 4,FGC0GF0R7661Z
"['40', '41', '42', '43', '44']",DNAVY,FGC015035011A
"['41', '42', '43']",RB BROWN,FGC090035001A
"['40', '42', '43']",DUBAI KHAKI,FGC0H9034921A
"['42', '43', '44']",BLACK,FGC0GC0R7741Z
"['39', '40', '41', '42', '43', '44', '45']",NAVY,FGC015050011A
"['42', '43', '44', '45']",BLACK,FGC0GS0R7401Z
[],OLIVE GREEN,FGC015034911A
"['40', '41', '42', '43', '45']",DUBAI KHAKI,FGC051044461A
"['40', '41', '42']",CAMEL,FGC051036081A
"['42', '43']",DUBAI KHAKI,FGC0GF0R8161Z
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0FK050031A
"['39', '40', '41', '42', '43', '44', '45']",NAVY,FGC015050041A
[],RB BROWN,FGC0AA033111A
"['40', '42', '44']",OLIVE GREEN,FGC0L8040001A
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC015050051A
"['39', '40', '41', '42', '43', '44', '45']",OLIVE GREEN,FGC015050151A
"['40', '42', '43', '44']",CASHEW BROWN,FGC015035091A
"['40', '41', '43', '44', '45']",KHAKI,FGC015027061A
[],DUBAI KHAKI,FGC0H9034961A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGC015050201A
[],NAVY,FGC015027091A
"['40', '42', '43', '44', '45']",CAMEL,FGC015034971A
